Scheme_Name,Interest_Rate,Loan_Term_Years,Min_Income,Max_Income,Min_CIBIL,Max_CIBIL,Min_Loan_Amount,Max_Loan_Amount,Bank_Name,Loan_Type
HDFC Reach Home Loans,8.872700594236813,23,26044.0,177259.0,813.0,894.0,1494897.0,4929020.0,State Bank of India,Home
ICICI Insta Home Loan,11.75357153204958,12,39871.0,196576.0,762.0,897.0,2372026.0,3985339.0,ICICI Bank,Home
Baroda Top Up Loan,10.659969709057025,11,40234.0,132046.0,842.0,884.0,686171.0,4468776.0,State Bank of India,Home
HDFC Home Loan,9.993292420985183,20,41381.0,170977.0,718.0,886.0,1741954.0,4068684.0,Punjab National Bank,Home
Baroda Top Up Loan,7.780093202212183,23,37274.0,177255.0,823.0,866.0,922446.0,4310480.0,Kotak Mahindra Bank,Home
Kotak Delight Home Loans,7.779972601681013,10,69892.0,105397.0,785.0,877.0,1311201.0,3961505.0,State Bank of India,Home
HDFC Reach Home Loans,7.290418060840997,24,70521.0,199925.0,769.0,850.0,867839.0,3068837.0,Axis Bank,Home
Baroda Top Up Loan,11.330880728874675,25,37920.0,183481.0,746.0,858.0,1190574.0,4771772.0,Kotak Mahindra Bank,Home
Kotak Delight Home Loans,10.005575058716044,15,36702.0,122233.0,807.0,898.0,532492.0,2945849.0,HDFC Bank,Home
Kotak Delight Home Loans,10.540362888980226,9,21894.0,183336.0,719.0,862.0,2398775.0,4431419.0,Kotak Mahindra Bank,Home
PNB Pride Housing Loan,7.102922471479012,20,50985.0,160308.0,736.0,896.0,1768691.0,4819110.0,State Bank of India,Home
Axis Asha Home Loan,11.849549260809972,11,48287.0,169726.0,829.0,881.0,2135337.0,4995009.0,Axis Bank,Home
ICICI Insta Home Loan,11.162213204002109,9,93527.0,163219.0,735.0,877.0,878231.0,3881815.0,ICICI Bank,Home
Baroda Home Loan,8.061695553391381,15,35439.0,101130.0,832.0,880.0,609015.0,2877481.0,Punjab National Bank,Home
ICICI Home Loan,7.909124836035503,19,62235.0,114071.0,763.0,857.0,1112503.0,3977608.0,Kotak Mahindra Bank,Home
HDFC Home Loan,7.917022549267169,7,47659.0,185517.0,706.0,857.0,741495.0,4074887.0,HDFC Bank,Home
SBI FlexiPay Home Loan,8.521211214797688,9,44976.0,102118.0,819.0,883.0,1552263.0,3967448.0,Bank of Baroda,Home
HDFC Home Loan,9.62378215816119,27,87865.0,100663.0,721.0,872.0,2253071.0,4029045.0,HDFC Bank,Home
HDFC Home Loan,9.159725093210579,25,88306.0,162408.0,745.0,859.0,957851.0,4107706.0,State Bank of India,Home
Kotak Mahindra Home Loan,8.45614570099021,9,76697.0,151786.0,809.0,886.0,2146264.0,2808067.0,HDFC Bank,Home
SBI Regular Home Loan,10.059264473611897,13,90382.0,181271.0,745.0,897.0,1358095.0,3845800.0,Punjab National Bank,Home
SBI FlexiPay Home Loan,7.697469303260209,19,36651.0,119158.0,727.0,874.0,2430017.0,3673761.0,HDFC Bank,Home
PNB Housing Finance Home Loan,8.46072324267609,7,69044.0,131087.0,786.0,882.0,2384712.0,2972923.0,ICICI Bank,Home
SBI FlexiPay Home Loan,8.831809216468459,10,34633.0,188114.0,734.0,894.0,882375.0,3158620.0,Bank of Baroda,Home
ICICI Home Loan,9.280349921085179,21,99164.0,153121.0,828.0,853.0,907050.0,3477722.0,Kotak Mahindra Bank,Home
ICICI Insta Home Loan,10.925879806965067,25,20569.0,119874.0,708.0,856.0,902137.0,3554194.0,Punjab National Bank,Home
Axis Asha Home Loan,7.998368910791799,12,79900.0,183443.0,708.0,882.0,2452256.0,3281550.0,Punjab National Bank,Home
ICICI Home Loan,9.571172192068058,25,87509.0,140821.0,721.0,851.0,1183933.0,4762342.0,Punjab National Bank,Home
SBI Regular Home Loan,9.962072844310212,29,53038.0,160582.0,769.0,897.0,1324308.0,4916379.0,Axis Bank,Home
ICICI Home Loan,7.232252063599988,15,69088.0,122787.0,840.0,895.0,1290698.0,2704749.0,State Bank of India,Home
Kotak Delight Home Loans,10.037724259507192,10,93177.0,164703.0,846.0,881.0,1586289.0,4756576.0,ICICI Bank,Home
Baroda Home Loan,7.8526206184364575,12,94466.0,121705.0,764.0,854.0,1426489.0,3480549.0,Bank of Baroda,Home
Kotak Delight Home Loans,7.325257964926397,14,92216.0,169381.0,839.0,895.0,1570644.0,2653233.0,Punjab National Bank,Home
PNB Pride Housing Loan,11.744427686266667,28,86793.0,144653.0,742.0,866.0,2163100.0,2911866.0,Axis Bank,Home
Axis Asha Home Loan,11.828160165372797,7,93786.0,182018.0,716.0,861.0,1163726.0,3827664.0,ICICI Bank,Home
Kotak Mahindra Home Loan,11.041986740582306,27,58138.0,191626.0,767.0,861.0,994071.0,3293978.0,ICICI Bank,Home
Axis Bank Home Loan,8.523068845866852,18,83310.0,186217.0,728.0,884.0,569384.0,3817927.0,Bank of Baroda,Home
HDFC Reach Home Loans,7.48836057003192,27,48757.0,132252.0,834.0,870.0,2103336.0,4167668.0,State Bank of India,Home
ICICI Home Loan,10.421165132560784,18,90394.0,173332.0,743.0,870.0,1158816.0,4890518.0,State Bank of India,Home
Axis Bank Home Loan,9.200762468698006,14,99027.0,172799.0,832.0,851.0,715750.0,3370735.0,State Bank of India,Home
ICICI Insta Home Loan,7.610191174223894,16,76151.0,162185.0,833.0,870.0,643103.0,4242851.0,State Bank of India,Home
Axis Bank Home Loan,9.475884550556351,10,69272.0,178313.0,706.0,864.0,585675.0,2646166.0,Bank of Baroda,Home
ICICI Insta Home Loan,7.171942605576092,16,26908.0,141538.0,753.0,860.0,1175386.0,3055524.0,Punjab National Bank,Home
PNB Housing Finance Home Loan,11.546602010393912,27,30844.0,120343.0,745.0,859.0,2113751.0,2900880.0,State Bank of India,Home
Axis Asha Home Loan,8.293899908000085,18,71455.0,180398.0,837.0,867.0,659849.0,2792065.0,State Bank of India,Home
PNB Pride Housing Loan,10.31261142176991,6,88447.0,141232.0,703.0,872.0,632732.0,2857525.0,Kotak Mahindra Bank,Home
ICICI Insta Home Loan,8.558555380447055,13,94527.0,153106.0,790.0,880.0,1837871.0,4415117.0,Bank of Baroda,Home
SBI FlexiPay Home Loan,9.600340105889053,14,97108.0,181227.0,760.0,875.0,786757.0,3484723.0,Bank of Baroda,Home
Kotak Delight Home Loans,9.733551396716399,21,63066.0,153079.0,810.0,851.0,1613842.0,3350022.0,Axis Bank,Home
HDFC Home Loan,7.924272277627635,21,60004.0,125028.0,736.0,888.0,709816.0,4983947.0,Axis Bank,Home
HDFC Reach Home Loans,11.847923138822793,7,58333.0,142135.0,702.0,856.0,2181884.0,4988837.0,Punjab National Bank,Home
HDFC Home Loan,10.875664116805574,23,59697.0,131066.0,712.0,873.0,816882.0,4102844.0,Kotak Mahindra Bank,Home
ICICI Insta Home Loan,11.697494707820946,5,37634.0,198717.0,787.0,888.0,2249713.0,2563470.0,ICICI Bank,Home
