self_employed,income_annum,loan_amount,loan_term,cibil_score,assets,loan_status
No,792834,83031,15,725,811436,Approved
No,432519,219476,15,755,376960,Rejected
No,759679,131356,10,794,1521240,Approved
No,738298,55033,10,800,1364044,Approved
No,686285,277946,10,753,1692140,Rejected
No,970029,170258,15,714,906723,Approved
No,515232,159326,10,735,887911,Approved
No,593652,186788,15,787,907694,Approved
Yes,801794,194286,20,703,1548298,Approved
No,800288,269065,10,683,93587,Rejected
No,991817,179838,10,736,949054,Approved
No,649879,134456,15,661,1469604,Rejected
No,381271,336185,10,691,1303846,Rejected
No,665319,113459,20,795,1107569,Approved
Yes,394780,266454,15,685,891810,Rejected
No,425021,75917,10,735,976948,Approved
Yes,949516,288561,15,670,880008,Rejected
No,486861,308078,20,738,984579,Rejected
No,867911,281415,10,717,1381430,Approved
No,827983,166550,10,719,2312876,Approved
No,885265,153719,20,684,613818,Rejected
No,969881,117787,15,702,1584816,Approved
Yes,1031816,280902,10,651,1281344,Rejected
Yes,961021,104422,15,699,1520638,Rejected
Yes,257315,179922,15,702,569546,Rejected
No,887014,73874,10,828,727819,Approved
Yes,738900,224606,15,699,769498,Rejected
No,624076,114780,10,774,444381,Approved
No,708794,115470,10,716,1130017,Approved
Yes,426898,203947,10,721,796076,Rejected
No,630487,285238,10,713,1191696,Rejected
No,718227,338825,10,742,1065030,Rejected
No,695625,198263,15,666,1260208,Rejected
Yes,1462069,122344,15,780,713729,Approved
No,1024542,297792,10,664,1591246,Rejected
No,765300,255577,20,728,1619948,Rejected
Yes,814395,288520,15,777,802374,Rejected
No,790875,220473,10,757,804415,Approved
No,944599,251962,15,618,1810926,Rejected
No,545968,181018,20,777,982600,Approved
Yes,1048437,173281,10,674,1376336,Rejected
Yes,396924,191721,20,664,856353,Rejected
No,545444,134079,10,691,576034,Rejected
Yes,936396,175140,15,750,1220125,Approved
No,793082,228890,20,713,644520,Approved
No,831558,123553,15,688,574526,Rejected
Yes,500980,197271,10,715,1022756,Rejected
Yes,964669,197624,10,715,652469,Approved
Yes,668138,190932,15,656,1362016,Rejected
Yes,508509,194862,20,676,1822575,Rejected
Yes,599003,145895,20,785,490802,Approved
Yes,835709,186284,10,780,801140,Approved
No,865564,230017,15,613,766458,Rejected
No,574384,210096,10,710,1593024,Rejected
No,895252,157211,20,692,1561349,Rejected
Yes,1409704,264361,10,695,869158,Rejected
No,658509,199934,10,809,1262254,Approved
Yes,964264,171322,10,667,524095,Rejected
Yes,524750,86382,15,759,994093,Approved
Yes,705313,183289,10,773,659269,Approved
No,780241,98293,15,707,1140995,Approved
Yes,311358,208763,15,716,1392039,Rejected
No,1048845,273038,15,780,756436,Approved
Yes,678429,292490,10,681,1029120,Rejected
Yes,508092,202249,20,760,1326086,Rejected
No,621482,224901,15,734,1240682,Rejected
No,453074,156934,10,676,1221402,Rejected
No,793580,110469,15,718,788857,Approved
No,881004,223707,15,749,974577,Approved
Yes,616246,213521,10,684,1086306,Rejected
No,668015,377889,15,707,1621898,Rejected
No,357017,122682,20,784,619181,Rejected
No,908541,240995,10,572,1240980,Rejected
Yes,569058,98122,15,676,1263643,Rejected
Yes,563030,276484,20,822,1341820,Rejected
Yes,790892,317390,15,707,687775,Rejected
No,1045534,173717,15,702,1038999,Approved
No,928426,253971,10,659,478030,Rejected
No,528892,201429,15,744,720800,Rejected
No,729150,176121,15,705,1038685,Approved
No,921153,252902,10,749,530443,Approved
No,825739,188635,10,595,935783,Rejected
No,809675,287825,15,769,1081614,Rejected
Yes,749742,179647,10,747,394796,Approved
No,743771,149739,10,652,666693,Rejected
No,440010,110122,10,688,1293958,Rejected
No,677073,131306,10,661,611338,Rejected
No,1052851,153472,10,705,840565,Approved
Yes,322367,244582,15,724,1430849,Rejected
Yes,621591,279185,15,758,544541,Rejected
No,195920,216429,20,812,850486,Rejected
No,853878,279394,10,798,1046016,Approved
Yes,1065350,276723,20,782,898417,Approved
Yes,943050,259796,20,693,1125607,Rejected
No,369587,122522,15,699,774055,Rejected
Yes,626415,112413,15,781,770798,Approved
No,881586,220212,10,744,1600740,Approved
No,577291,204460,15,693,1006521,Rejected
No,692680,259228,15,771,961435,Rejected
No,262436,189499,20,666,1305236,Rejected
Yes,617154,314537,15,731,1367440,Rejected
Yes,486235,266275,10,750,1195170,Rejected
No,551913,105035,10,723,783186,Approved
No,668488,218029,20,640,934142,Rejected
No,354783,245501,15,697,1146388,Rejected
No,681411,198992,20,670,960183,Rejected
No,945045,170611,15,730,1152289,Approved
No,663288,270220,20,768,575714,Rejected
No,753114,228069,10,741,1221076,Approved
No,575213,236659,15,784,555889,Rejected
Yes,513781,193695,15,809,1094093,Rejected
Yes,591640,289267,10,721,879673,Rejected
No,548461,171491,20,791,983591,Approved
No,749667,190260,15,684,1908642,Rejected
No,793381,240827,15,676,867691,Rejected
No,491465,249565,20,754,931602,Rejected
No,836128,220269,10,710,876822,Approved
No,760469,180782,10,757,440381,Approved
Yes,705990,286893,15,660,945817,Rejected
Yes,614074,217018,20,754,1044161,Rejected
No,484302,277540,10,713,1425053,Rejected
No,681337,253595,15,716,1126375,Rejected
No,889896,121756,10,710,1637690,Approved
No,944926,255858,15,709,948526,Approved
No,846721,215745,20,793,776372,Approved
No,744954,136531,15,779,420886,Approved
No,1010440,151184,15,760,563505,Approved
No,1040774,222029,20,676,1386589,Rejected
No,969410,261566,15,821,847527,Approved
No,334669,61590,15,708,1034964,Approved
No,959007,225427,10,742,544542,Approved
No,1053932,275808,15,755,544679,Rejected
Yes,902609,222174,20,620,765034,Rejected
Yes,750713,244763,15,624,1012882,Rejected
No,717815,246895,20,690,1145410,Rejected
No,581779,268088,10,705,430975,Rejected
No,614138,226656,10,647,1122840,Rejected
No,1074134,124925,15,729,967200,Approved
Yes,280988,90365,10,718,931471,Approved
No,721860,191191,20,637,1112406,Rejected
Yes,626601,272202,10,655,960294,Rejected
No,707610,205322,15,712,796271,Approved
No,748328,293400,15,729,1111259,Rejected
No,319796,171437,15,679,739834,Rejected
No,582307,166117,20,736,1733132,Approved
No,933960,321353,10,724,1414556,Rejected
No,894467,183652,10,732,1090457,Approved
No,828237,332620,20,768,1019512,Rejected
No,652735,263747,10,749,1479054,Rejected
Yes,1062932,73291,20,681,641303,Rejected
No,1091299,268279,10,681,955049,Rejected
No,1150450,143925,15,617,728049,Rejected
No,870967,283290,15,804,749653,Approved
Yes,626667,173031,15,748,473285,Approved
No,349207,174597,10,680,632659,Rejected
No,834837,206303,15,675,829497,Rejected
No,656019,206353,15,682,1344087,Rejected
No,697848,185954,20,687,446145,Rejected
No,547304,246531,15,739,1271262,Rejected
Yes,942283,236632,15,642,928795,Rejected
No,1281976,328732,10,817,1482276,Approved
No,774654,202752,10,794,1454615,Approved
No,947003,240115,10,661,1309896,Rejected
No,625677,279614,15,720,1191304,Rejected
Yes,748054,280784,15,723,1419038,Rejected
Yes,829527,194816,20,796,697112,Approved
No,546670,258430,15,745,992872,Rejected
No,847261,227049,20,676,800412,Rejected
No,686259,145121,15,689,534170,Rejected
Yes,390196,211347,10,703,469392,Rejected
No,812932,292783,20,715,923537,Rejected
Yes,674783,263479,15,811,944941,Rejected
Yes,855072,269579,15,669,672824,Rejected
No,794353,233753,20,726,926244,Approved
Yes,837184,566348,10,679,1092645,Rejected
Yes,684433,192695,10,812,690810,Approved
Yes,733429,306829,10,676,1219984,Rejected
No,716817,198510,20,774,1359066,Approved
No,609464,153542,10,726,666961,Approved
No,639266,255217,15,756,533331,Rejected
No,866415,270078,20,659,1221527,Rejected
No,791847,246962,15,738,1304585,Approved
No,396416,314793,20,650,715413,Rejected
No,1162264,333493,15,717,1245489,Approved
No,790331,214404,10,757,630873,Approved
Yes,733584,238225,15,709,746843,Approved
No,635051,157201,20,710,965321,Approved
No,646769,216284,20,707,1800387,Rejected
No,934198,-27174,15,699,660292,Rejected
No,745169,209185,20,635,896822,Rejected
Yes,829949,147390,10,639,1656523,Rejected
Yes,295323,230733,10,731,1186644,Rejected
Yes,649815,73899,15,798,923185,Approved
No,982538,195369,10,743,1768824,Approved
